timestamp,open,high,low,close,adjusted close,volume,dividend amount
2013-07-26,193.4000,197.8300,193.2804,197.3500,128.7107,14719100,0.0000
2013-07-19,192.4200,200.9400,191.6800,193.5400,126.2258,31679400,0.0000
2013-07-12,195.6000,195.7800,190.7800,192.0700,125.2671,20715900,0.0000
2013-07-05,192.1500,195.1600,190.2600,194.9300,127.1323,12378100,0.0000
2013-06-28,193.9900,196.9000,188.4100,191.1100,124.6410,25092600,0.0000
2013-06-21,203.4400,206.0900,193.5401,195.4600,127.4780,22773400,0.0000
2013-06-14,206.9700,206.9800,200.3400,202.2000,131.8738,14580500,0.0000
2013-06-07,208.2500,210.0500,201.4700,206.3500,134.5804,17768500,0.0000
2013-05-31,207.4400,211.9800,206.0400,208.0200,135.6696,16799600,0.0000
2013-05-24,208.0200,210.1500,204.4200,205.7200,134.1695,20259100,0.0000
2013-05-17,204.1800,209.5000,202.0400,208.4400,135.9435,21587300,0.0000
2013-05-10,203.7900,205.0000,201.5200,204.4700,133.3543,18700700,0.9500
2013-05-03,194.7800,205.3190,194.6500,204.5100,132.7646,26809200,0.0000
2013-04-26,191.1500,195.1700,187.6800,194.3100,126.1429,27976600,0.0000
2013-04-19,210.4400,212.0000,189.7600,190.0000,123.3449,35696400,0.0000
2013-04-12,209.0700,213.0900,207.3300,211.3800,137.2245,15273700,0.0000
2013-04-05,212.8000,214.8900,206.3400,209.4100,135.9456,16247600,0.0000
2013-03-28,212.5400,213.4400,209.7350,213.3000,138.4709,12516100,0.0000
2013-03-22,212.9000,215.8200,210.1100,212.0800,137.6789,18085500,0.0000
2013-03-15,210.0400,215.9000,209.0400,214.9200,139.5226,23433000,0.0000
2013-03-08,202.5900,210.7400,202.5500,210.3800,136.5753,18680900,0.0000
2013-03-01,201.6700,203.1230,197.5100,202.9100,131.7259,19419000,0.0000
2013-02-22,200.6000,201.8900,198.1100,201.0900,130.5444,13744500,0.0000
2013-02-15,200.9800,201.9500,199.0200,200.9800,130.4730,14498300,0.0000
2013-02-08,204.1900,205.0200,198.6800,201.6800,130.9274,16419900,0.8500
2013-02-01,204.8500,206.2200,202.9600,205.1800,132.6387,15901300,0.0000
2013-01-25,194.3600,208.5800,194.0100,204.9700,132.5029,27508900,0.0000
2013-01-18,192.8200,195.0000,190.3900,194.4700,125.7152,19748400,0.0000
2013-01-11,193.4000,195.0000,191.2800,194.4500,125.7023,16589700,0.0000
2013-01-04,189.2300,196.3500,188.8400,193.9900,125.4049,15943900,0.0000
2012-12-28,193.0500,193.8300,189.8300,189.8300,122.7157,11911900,0.0000
2012-12-21,191.7600,196.4500,191.5700,193.4200,125.0364,24598600,0.0000
2012-12-14,192.1700,194.8000,191.2600,191.7600,123.9633,19274500,0.0000
2012-12-07,190.7600,192.2000,186.9400,191.9500,124.0861,18850300,0.0000
2012-11-30,192.4500,193.3700,189.2700,190.0700,122.8708,21119100,0.0000
2012-11-23,188.6200,193.4900,188.2500,193.4900,125.0817,15826300,0.0000
2012-11-16,190.0300,190.8800,184.7800,186.9400,120.8474,18951000,0.0000
2012-11-09,192.3600,196.7500,188.8800,189.6400,122.5928,17977200,0.8500
2012-11-02,194.8000,198.0000,193.2900,193.4300,124.4893,14071200,0.0000
2012-10-26,193.7100,194.6800,190.5600,193.2700,124.3864,19824000,0.0000
2012-10-19,208.8800,211.0000,193.1800,193.3600,124.4443,37283100,0.0000
2012-10-12,210.0200,210.7400,205.0500,207.8000,133.7377,15209500,0.0000
2012-10-05,208.0100,211.7900,207.9400,210.5900,135.5333,17786100,0.0000
2012-09-28,205.0200,208.3200,203.9000,207.4500,133.5125,17962400,0.0000
2012-09-21,205.5500,207.9900,205.3000,205.9800,132.5664,24867400,0.0000
2012-09-14,199.3900,207.6500,198.7300,206.8100,133.1006,19339300,0.0000
2012-09-07,196.6100,199.5000,193.2500,199.5000,128.3959,15172300,0.0000
2012-08-31,197.9600,198.3000,193.1800,194.8500,125.4032,13113600,0.0000
